site name,gauge number,owner,lat,lon
ABERFOYLE@ ABERFOYLE,204030,"NSW - Department of Planning, Industry and Environment – Water",-30.2587,152.0094
Abergowrie College,116006A,"QLD - Department of Regional Development, Manufacturing and Water",-18.49,145.8936111
Abernethy Rd,616087,WA - Department of Water and Environmental Regulation,-31.94828296,115.9193194
Abney Hill,502062,WA - Department of Water and Environmental Regulation,-15.71937864,128.7487398
ABQ2 MT. COOT-THA,IVR512,QLD - Brisbane City Council,-27.46430632,152.9477839
Abydos North,504031,WA - Department of Water and Environmental Regulation,-21.31531615,118.9991066
AC 10B,70118242,WA - Department of Water and Environmental Regulation,-28.95634548,115.2055612
AC 11B,70118244,WA - Department of Water and Environmental Regulation,-28.91434112,115.2093554
AC 12A,70118245,WA - Department of Water and Environmental Regulation,-28.9325756,115.2652532
AC 13A,70118247,WA - Department of Water and Environmental Regulation,-28.92623163,115.3077703
AC 14A,70118249,WA - Department of Water and Environmental Regulation,-28.84856732,115.182342
AC 15A,70118251,WA - Department of Water and Environmental Regulation,-28.80731369,115.250226
AC 1A,70118223,WA - Department of Water and Environmental Regulation,-28.9402312,114.9850189
AC 1B,70118224,WA - Department of Water and Environmental Regulation,-28.94026445,114.9850706
AC 2A,70118225,WA - Department of Water and Environmental Regulation,-28.97055021,115.0290186
AC 2B,70118226,WA - Department of Water and Environmental Regulation,-28.97059816,115.0290269
AC 3A,70118227,WA - Department of Water and Environmental Regulation,-29.01698305,115.0954985
AC 3B,70118228,WA - Department of Water and Environmental Regulation,-29.01701966,115.0955348
AC 4A,70118229,WA - Department of Water and Environmental Regulation,-29.05117459,115.1688831
AC 4B,70118230,WA - Department of Water and Environmental Regulation,-29.05125761,115.1688837
AC 5A,70118231,WA - Department of Water and Environmental Regulation,-29.08098181,115.2650258
AC 5B,70118232,WA - Department of Water and Environmental Regulation,-29.08105739,115.2650091
AC 6A,70118233,WA - Department of Water and Environmental Regulation,-29.0004836,115.1816573
AC 6B,70118234,WA - Department of Water and Environmental Regulation,-29.00056033,115.1816591
AC 7A,70118235,WA - Department of Water and Environmental Regulation,-29.00005828,115.2650418
AC 7B,70118236,WA - Department of Water and Environmental Regulation,-29.00000408,115.2650376
AC 8A,70118237,WA - Department of Water and Environmental Regulation,-29.03192708,115.339758
AC 8B,70118238,WA - Department of Water and Environmental Regulation,-29.03192444,115.3398361
AC 9A,70118239,WA - Department of Water and Environmental Regulation,-28.90683972,115.0813403
Acacia C,G8170085,"NT - Department of Environment, Parks and Water Security",-12.78463,131.122372
Acacia Place,616134,WA - Department of Water and Environmental Regulation,-32.04119316,115.9237682
Accom_Ck Wallaces,416320A,"QLD - Department of Regional Development, Manufacturing and Water",-28.808186,151.836363
ACHERON @ TAGGERTY,405209,"VIC - Department of Environment, Land, Water and Planning",-37.31772866,145.7128865
Ackland Hill Pluvio,A5040550,SA - Department for Environment and Water,-35.0518,138.6494
Adam Road,611195,WA - Department of Water and Environmental Regulation,-33.35754954,115.6390904
Adam Road,509584,WA - Department of Water and Environmental Regulation,-33.35754954,115.6390904
Adaminaby TBR,300,NSW - Snowy Hydro Limited,-35.99254218,148.7805557
ADEKATE @ CRESWICK,407238,"VIC - Department of Environment, Land, Water and Planning",-37.44433032,143.9494445
ADEKATE @ CRESWICK,407238A,VIC - Central Highlands Water,-37.44433032,143.9494445
Adelaide River - D/S Daly Road,G8170008,"NT - Department of Environment, Parks and Water Security",-13.417125,131.084895
Adelaide River - Railway Bridge,G8170002,"NT - Department of Environment, Parks and Water Security",-13.24147,131.108642
Adelaide US Marrakai,G8170005,"NT - Department of Environment, Parks and Water Security",-12.948541,131.270432
ADELONG @ BATLOW RD,410061,"NSW - Department of Planning, Industry and Environment – Water",-35.3323,148.0685
ADELONG CK @ TUMBLON,410198,"NSW - Department of Planning, Industry and Environment – Water",-35.1378,148.0076
ADJUNGBILLY D'BALARA,410038,"NSW - Department of Planning, Industry and Environment – Water",-35.0177,148.2469
ADJUNGBILLY RAINFALL,573016,"NSW - Department of Planning, Industry and Environment – Water",-35.05079804,148.4145094
Agate_Ck Cave Ck Jn,917005A,"QLD - Department of Regional Development, Manufacturing and Water",-18.93247222,143.4689167
AGNES @ TOORA,227211,"VIC - Department of Environment, Land, Water and Planning",-38.6399743,146.3724776
AGROFORESTRY SITE,233250,"VIC - Department of Environment, Land, Water and Planning",-38.4480865,143.7313122
Air Strip,505059,WA - Department of Water and Environmental Regulation,-22.6087,117.6313
AIRE @ BEECH FOREST,235209,"VIC - Department of Environment, Land, Water and Planning",-38.66849499,143.5812749
AIRE @ WYELANGTA,235219,"VIC - Department of Environment, Land, Water and Planning",-38.7031718,143.4772919
Aireys Inlet,ST965,VIC - Barwon Region Water Corporation (Barwon Water),-38.429,144.1148
Aitcheson St East,BNA764,QLD - Brisbane City Council,-27.58712585,152.8641853
AK1 Pipe,809325,WA - Department of Water and Environmental Regulation,-16.68911803,128.3878516
Alamein Track,509758,WA - Department of Water and Environmental Regulation,-34.46880532,115.8315251
ALBERT @ HIAWATHA,227216,"VIC - Department of Environment, Land, Water and Planning",-38.5274,146.4707
Albert R Beaud Pump,145105A,"QLD - Department of Regional Development, Manufacturing and Water",-28.00224722,153.0628139
Albert R Lumeah,145101D,"QLD - Department of Regional Development, Manufacturing and Water",-28.054207,153.044584
Albert_R Berrempa,145101B,"QLD - Department of Regional Development, Manufacturing and Water",-28.05666667,153.0438889
Albert_R Bromfleet,145102B,"QLD - Department of Regional Development, Manufacturing and Water",-27.909154,153.106498
Albert_R Kerry,145101A,"QLD - Department of Regional Development, Manufacturing and Water",-28.0675,153.0416667
Albert_R Lumeah No1,145101C,"QLD - Department of Regional Development, Manufacturing and Water",-28.06222222,153.0405556
Albert_R Mundoolun,145102A,"QLD - Department of Regional Development, Manufacturing and Water",-27.90222222,153.0975
Albert_R Pump Stn 1,145105B,"QLD - Department of Regional Development, Manufacturing and Water",-28.002069,153.062911
Albert_R Wolffdene,145196A,"QLD - Department of Regional Development, Manufacturing and Water",-27.78305556,153.1897222
ALBION PARK BC,568171,NSW - Sydney Water Corporation (Sydney Water),-34.5703,150.7684
Alco,509545,WA - Department of Water and Environmental Regulation,-34.15527635,116.1079343
Alcoa Dam Overflows,509238,WA - Department of Water and Environmental Regulation,-32.65009725,115.9320152
Alcoa Dam Overflows,614034,WA - Department of Water and Environmental Regulation,-32.65009725,115.9320152
ALDERMAN @ ROAD 33,229650B,VIC - Melbourne Water Corporation (Melbourne Water),-37.7216,145.94
ALDGATE CK @ Aldgate Rly Station,A5030509.1,SA - South Australian Water Corporation (SA Water),-35.01482541,138.7315543
Aldgate Ck/Mylor,A5030516,SA - Department of Primary Industries and Regions (SA),-35.0394,138.7605
Alehvale,916003A,"QLD - Department of Regional Development, Manufacturing and Water",-18.2774,142.3396
Algebuckina WH,A0041006,SA - Department for Environment and Water,-27.8916,135.8291
Alguchina WH,A0051003,SA - Department for Environment and Water,-27.19883469,135.8194064
Alice Plaza Building,R0060023,"NT - Department of Environment, Parks and Water Security",-23.698212,133.882729
Alice Town Basin,RN014871,"NT - Department of Environment, Parks and Water Security",-23.691414,133.885612
Alice_R  Barcaldine,003302A,"QLD - Department of Regional Development, Manufacturing and Water",-23.64791,145.21535
ALLAMBEE SOUTH,502254A,VIC - Melbourne Water Corporation (Melbourne Water),-38.32578744,146.0550144
Allanooka A11,70118111,WA - Department of Water and Environmental Regulation,-29.07089388,115.0653194
Allanooka A12,70118112,WA - Department of Water and Environmental Regulation,-29.08310773,115.0476388
Allanooka A9,70118109,WA - Department of Water and Environmental Regulation,-29.03422644,115.0111669
Allanooka P 1-83,70118180,WA - Department of Water and Environmental Regulation,-29.08751731,115.0087873
Allanooka P 4-82,70118179,WA - Department of Water and Environmental Regulation,-29.08700127,115.0288284
ALLANS CREEK US TARANNA,2216.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-43.072764,147.891638
Allen Reservoir,RE931,VIC - Barwon Region Water Corporation (Barwon Water),-38.53766741,143.9448758
ALLENVALE RES H.G.,235256,"VIC - Department of Environment, Land, Water and Planning",-38.53793069,143.9449143
Alligator Allendale,118106A,"QLD - Department of Regional Development, Manufacturing and Water",-19.38660556,146.9579389
Alligator Pool,503010,WA - Department of Water and Environmental Regulation,-18.27925793,125.5324495
Alligator_C Williams,126005A,"QLD - Department of Regional Development, Manufacturing and Water",-21.36416667,149.1525
Allungra C WH,G0280004,"NT - Department of Environment, Parks and Water Security",-22.690916,133.628478
ALLYN @ FLYINGFOX LN,210143,"NSW - Department of Planning, Industry and Environment – Water",-32.5165844,151.584259
ALLYN RIVER @ HALTON,210022,"NSW - Department of Planning, Industry and Environment – Water",-32.3063,151.5129
Alpin_Ck Raleigh,416313A,"QLD - Department of Regional Development, Manufacturing and Water",-28.90305728,151.2716636
ALTONA RG,587047,VIC - Melbourne Water Corporation (Melbourne Water),-37.8709,144.79
ALUM@JONES PLAIN RD,41000271,"NSW - Department of Planning, Industry and Environment – Water",-35.99978351,148.951692
Am19A,61621502,WA - Department of Water and Environmental Regulation,-31.56785399,116.0019543
AM20B,61672159,WA - Department of Water and Environmental Regulation,-31.64558249,115.7055874
AM20C,61672164,WA - Department of Water and Environmental Regulation,-31.64558354,115.7056907
AM23B,61615172,WA - Department of Water and Environmental Regulation,-31.6876059,115.7272211
Am26D,61622199,WA - Department of Water and Environmental Regulation,-31.65560469,115.998567
Am26F,61622198,WA - Department of Water and Environmental Regulation,-31.65549468,115.998563
AM27C,61615182,WA - Department of Water and Environmental Regulation,-31.76980684,115.7837558
AM29B,61672192,WA - Department of Water and Environmental Regulation,-31.71170387,115.9683638
AM29C,61672193,WA - Department of Water and Environmental Regulation,-31.71170523,115.9684202
AM32Y,61615132,WA - Department of Water and Environmental Regulation,-31.86588079,115.7635466
AM34B,61672162,WA - Department of Water and Environmental Regulation,-31.86731179,115.8876676
AM34C,61672163,WA - Department of Water and Environmental Regulation,-31.86731804,115.8875876
Am35B,61617258,WA - Department of Water and Environmental Regulation,-31.85328144,115.9748934
Am35C,61617259,WA - Department of Water and Environmental Regulation,-31.8532229,115.974895
AM36D,61672218,WA - Department of Water and Environmental Regulation,-31.89422568,115.8074913
AM38B,61672230,WA - Department of Water and Environmental Regulation,-31.91207067,115.9900865
AM39A,61672215,WA - Department of Water and Environmental Regulation,-31.9738127,115.7795087
Amamoor_Ck Forest St,138102B,"QLD - Department of Regional Development, Manufacturing and Water",-26.36726533,152.6221756
Amamoor_Ck U.Amamoor,138102A,"QLD - Department of Regional Development, Manufacturing and Water",-26.36927348,152.6133984
Amamoor_Ck Zachari,138102C,"QLD - Department of Regional Development, Manufacturing and Water",-26.3654542,152.6201768
Amarillup Swamp,603172,WA - Department of Water and Environmental Regulation,-34.69672184,117.3012361
Amax Pool,806002,WA - Department of Water and Environmental Regulation,-14.87501855,125.8333132
Amax Pool,501004,WA - Department of Water and Environmental Regulation,-14.87053055,125.8295959
Amoonguna,G0060040,"NT - Department of Environment, Parks and Water Security",-23.764143,133.917478
AMPHITHEATRE RES. HG,408216A,VIC - Central Highlands Water,-37.17323546,143.3774979
AMPHITHEATRE RES. HG,408216,"VIC - Department of Environment, Land, Water and Planning",-37.17323546,143.3774979
ANABRANCH AT TARA DO,425054,"NSW - Department of Planning, Industry and Environment – Water",-33.92777778,141.7419444
ANABRANCH D/S 183,425053,"NSW - Department of Planning, Industry and Environment – Water",-33.44694427,141.8050002
ANABRANCH U/S 183,425052,"NSW - Department of Planning, Industry and Environment – Water",-33.44694444,141.805
ANABRANCH@OFFTAKE,425050,"NSW - Department of Planning, Industry and Environment – Water",-32.8830555,142.3538888
Anaconda Drive,616092,WA - Department of Water and Environmental Regulation,-32.07835523,115.9787991
Analysers,GOS.GOSTE11,TAS - TasWater,-42.86691421,147.244582
Anderson Farm,602005,WA - Department of Water and Environmental Regulation,-34.88956867,118.0077513
Anderson Farm,509342,WA - Department of Water and Environmental Regulation,-34.88997023,118.0061781
ANDERSONS CREEK U/S KELSO ROAD,18200.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.166966,146.77123
Andrew Road,509055,WA - Department of Water and Environmental Regulation,-34.12053805,115.866169
Andrews Farm,A5050540,SA - Department for Environment and Water,-34.6759,138.6625
Angas R Ds Willyaro,A4261101,SA - Murraylands and Riverland Landscape Board,-35.2797,138.9177
Angas R/Angas Plains,A4260629,SA - Department for Environment and Water,-35.3275,138.9968
Angas R/Angas Weir,A4260503,SA - Department for Environment and Water,-35.2273,138.8566
Angas River at Ballandown Road,A4261220,SA - Department for Environment and Water,-35.36531,139.001569
Angas/Ballandown Rd,A4261073,SA - Murraylands and Riverland Landscape Board,-35.365,139.0017
Angas/Cheriton Road,A4261074,SA - Murraylands and Riverland Landscape Board,-35.3048,138.9699
Angas/Quarry Rd,A4261407,SA - Murraylands and Riverland Landscape Board,-35.15347439,138.8155464
ANGLESEA @ ANGLESEA,235222,"VIC - Department of Environment, Land, Water and Planning",-38.38602485,144.1774815
ANGLESEA R GR OCEAN,235278,"VIC - Department of Environment, Land, Water and Planning",-38.40507409,144.1861279
ANGLESEA RIVER (MARSHY CREEK) @ ALCOA,235260,"VIC - Department of Environment, Land, Water and Planning",-38.3896916,144.1729888
ANGLESEA RIVER @ GUMFLATS ROAD,235277,"VIC - Department of Environment, Land, Water and Planning",-38.34561177,144.1482882
ANGLESEA SWAMP @ VEGETATION SITE P7 TRANSECT,235280,"VIC - Department of Environment, Land, Water and Planning",-38.35777475,144.1720687
ANGLESEA WETLANDS @ ALLARDYLE TRACK,235272,"VIC - Department of Environment, Land, Water and Planning",-38.38182838,144.1727113
Anna Downs Site One,607025,WA - Department of Water and Environmental Regulation,-34.07282786,116.8421688
Anna Downs Site Two,607026,WA - Department of Water and Environmental Regulation,-34.08676545,116.8312708
Annan_R Beesbike,107003A,"QLD - Department of Regional Development, Manufacturing and Water",-15.687795,145.208518
Annan_R Mt Simon,107002A,"QLD - Department of Regional Development, Manufacturing and Water",-15.64394444,145.1931667
ANNANGROVE,567105,NSW - Sydney Water Corporation (Sydney Water),-33.676,150.9629
ANSONS RIVER DS BIG BOGGY CREEK,2214.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.046377,148.21736
Anthill Rd,504022,WA - Department of Water and Environmental Regulation,-21.98809303,120.314937
ANTIENE CK @ LIDDELL,210076,"NSW - Department of Planning, Industry and Environment – Water",-32.33624808,150.9824133
Anvil Comp Basin,6162796,WA - Department of Water and Environmental Regulation,-31.99224942,115.9360899
Anvil Way Outflow,616125,WA - Department of Water and Environmental Regulation,-31.99502216,115.9354016
Anzac Park Toowong,TWR749,QLD - Brisbane City Council,-27.48022,152.979381
Apollo Bay Basin,SB898,VIC - Barwon Region Water Corporation (Barwon Water),-38.76519,143.65217
Apollo Bay WRP,ST910,VIC - Barwon Region Water Corporation (Barwon Water),-38.75926,143.65017
April Rd Nrth CatchF,509327,WA - Department of Water and Environmental Regulation,-34.50063004,116.3526796
April Rd Nrth CatchF,607011,WA - Department of Water and Environmental Regulation,-34.50036153,116.3530629
April Rd South,509328,WA - Department of Water and Environmental Regulation,-34.51208978,116.3455097
April Rd Sth Catch G,607012,WA - Department of Water and Environmental Regulation,-34.51159586,116.3458949
APSLEY APSLEY FALLS,206018,"NSW - Department of Planning, Industry and Environment – Water",-31.0504,151.7691
APSLEY APSLEY GORGE,206033,"NSW - Department of Planning, Industry and Environment – Water",-30.9701,152.0094
APSLEY RIVER US COLES BAY ROAD BRIDGE,2204.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.938907,148.23685
Aquaduct Booster SPS,SP073,VIC - Barwon Region Water Corporation (Barwon Water),-38.1902,144.3733
AQUARIUM AVE HEMMANT,BMA591,QLD - Brisbane City Council,-27.4394,153.1266
ARALUEN @ NERINGLA,217006,"NSW - Department of Planning, Industry and Environment – Water",-35.6568,149.807
Arcadia Powerline,509107,WA - Department of Water and Environmental Regulation,-33.44963132,115.9737249
Archer_R Ring Yards,922002A,"QLD - Department of Regional Development, Manufacturing and Water",-13.54880556,142.1646667
